round,roundNumber,game,fixtureGame,matchup,player,team,opponent,homeAway,human_vote,modelEV
Round 16,16,1,1,Brisbane v Sydney,Josh Dunkley,Brisbane,Sydney,Home,1.0,0.9
Round 17,17,1,1,Geelong v Brisbane,Josh Dunkley,Brisbane,Geelong,Away,0.5,0.358
Round 19,19,6,5,West Coast v Brisbane,Josh Dunkley,Brisbane,West Coast,Away,2.0,1.892
Round 19,19,6,5,West Coast v Brisbane,Josh Dunkley,Brisbane,West Coast,Away,0.5,0.358
Round 23,23,4,4,Brisbane v Gold Coast,Josh Dunkley,Brisbane,Gold Coast,Home,1.0,0.9
Round 13,13,5,5,West Coast v Port Adelaide,Tom McCarthy,West Coast,Port Adelaide,Home,2.0,1.896
Round 13,13,5,5,West Coast v Port Adelaide,Esava Ratugolea,Port Adelaide,West Coast,Away,1.0,0.863
Round 13,13,6,6,Sydney v St Kilda,Liam Ryan,St Kilda,Sydney,Away,1.0,0.922
Round 14,14,7,7,St Kilda v Greater Western Sydney,Liam Ryan,St Kilda,Greater Western Sydney,Home,3.0,2.83
Round 13,13,7,7,Essendon v Carlton,Sam Durham,Essendon,Carlton,Home,3.0,2.896
Round 19,19,9,9,Essendon v Greater Western Sydney,Sam Durham,Essendon,Greater Western Sydney,Home,0.5,0.375
Round 13,13,7,7,Essendon v Carlton,Harry McKay,Carlton,Essendon,Away,2.0,1.916
Round 21,21,6,6,Carlton v Brisbane,Harry McKay,Carlton,Brisbane,Home,0.5,0.362
Round 13,13,7,7,Essendon v Carlton,George Hewett,Carlton,Essendon,Away,1.0,0.92
Round 15,15,4,4,Greater Western Sydney v Carlton,George Hewett,Carlton,Greater Western Sydney,Away,2.0,1.933
Round 16,16,3,3,Carlton v West Coast,George Hewett,Carlton,West Coast,Home,1.0,0.92
Round 17,17,7,7,Richmond v Carlton,George Hewett,Carlton,Richmond,Away,3.0,2.822
Round 21,21,6,6,Carlton v Brisbane,George Hewett,Carlton,Brisbane,Home,3.0,2.822
Round 22,22,9,9,St Kilda v Carlton,George Hewett,Carlton,St Kilda,Away,0.5,0.366
Round 13,13,7,7,Essendon v Carlton,Zach Reid,Essendon,Carlton,Home,0.5,0.382
Round 14,14,3,3,Melbourne v Essendon,Will Setterfield,Essendon,Melbourne,Away,0.5,0.382
Round 23,23,9,9,Essendon v Sydney,Will Setterfield,Essendon,Sydney,Home,0.5,0.382
Round 14,14,4,4,North Melbourne v West Coast,Jack Darling,North Melbourne,West Coast,Home,2.0,1.896
Round 14,14,4,4,North Melbourne v West Coast,Nick Larkey,North Melbourne,West Coast,Home,1.0,0.891
Round 23,23,3,3,North Melbourne v Geelong,Nick Larkey,North Melbourne,Geelong,Home,0.5,0.354
Round 15,15,1,1,Fremantle v Geelong,Neil Erasmus,Fremantle,Geelong,Home,0.5,0.382
Round 15,15,2,2,Gold Coast v Hawthorn,Ben Long,Gold Coast,Hawthorn,Home,1.0,0.863
Round 15,15,3,3,Adelaide v Melbourne,Mark Keane,Adelaide,Melbourne,Home,3.0,2.889
Round 16,16,3,3,Carlton v West Coast,Ben Ainsworth,Carlton,West Coast,Home,2.0,1.946
Round 24,24,3,3,Carlton v Fremantle,Ben Ainsworth,Carlton,Fremantle,Home,3.0,2.839
Round 16,16,5,5,Port Adelaide v Adelaide,Josh Lai,Port Adelaide,Adelaide,Home,1.0,0.863
Round 17,17,3,2,West Coast v Adelaide,Lachlan McAndrew,Adelaide,West Coast,Away,1.0,0.863
Round 17,17,4,4,Hawthorn v Melbourne,Bayley Fritsch,Melbourne,Hawthorn,Away,1.0,0.891
Round 23,23,6,6,Port Adelaide v Melbourne,Bayley Fritsch,Melbourne,Port Adelaide,Away,0.5,0.354
Round 17,17,5,5,Greater Western Sydney v Fremantle,Connor Idun,Greater Western Sydney,Fremantle,Home,0.5,0.382
Round 17,17,6,6,Gold Coast v Collingwood,Zeke Uwland,Gold Coast,Collingwood,Home,2.0,1.896
Round 17,17,7,7,Richmond v Carlton,Toby Nankervis,Richmond,Carlton,Home,2.0,1.896
Round 17,17,8,8,Essendon v St Kilda,Bradley Hill,St Kilda,Essendon,Away,2.0,1.909
Round 18,18,3,3,St Kilda v Port Adelaide,Bradley Hill,St Kilda,Port Adelaide,Home,3.0,2.786
Round 20,20,9,9,North Melbourne v St Kilda,Bradley Hill,St Kilda,North Melbourne,Away,1.0,0.908
Round 23,23,2,2,Richmond v St Kilda,Bradley Hill,St Kilda,Richmond,Away,1.0,0.908
Round 18,18,4,4,Greater Western Sydney v Geelong,Sam Taylor,Greater Western Sydney,Geelong,Home,0.5,0.382
Round 18,18,5,5,Carlton v Hawthorn,Lloyd Meek,Hawthorn,Carlton,Away,2.0,1.896
Round 18,18,8,8,Melbourne v Richmond,Jake Bowey,Melbourne,Richmond,Home,2.0,1.916
Round 19,19,4,4,North Melbourne v Melbourne,Jake Bowey,Melbourne,North Melbourne,Away,0.5,0.362
Round 18,18,9,9,Brisbane v Essendon,Kai Lohmann,Brisbane,Essendon,Home,0.5,0.368
Round 19,19,6,5,West Coast v Brisbane,Kai Lohmann,Brisbane,West Coast,Away,3.0,2.84
Round 22,22,2,2,Brisbane v Hawthorn,Kai Lohmann,Brisbane,Hawthorn,Home,1.0,0.926
Round 19,19,1,1,Geelong v St Kilda,James Worpel,Geelong,St Kilda,Home,0.5,0.382
Round 21,21,1,1,Collingwood v Geelong,James Worpel,Geelong,Collingwood,Away,0.5,0.382
Round 19,19,2,2,Sydney v Adelaide,Darcy Fogarty,Adelaide,Sydney,Away,3.0,2.889
Round 19,19,6,5,West Coast v Brisbane,Harris Andrews,Brisbane,West Coast,Away,1.0,0.863
Round 19,19,7,7,Richmond v Hawthorn,Mitch Lewis,Hawthorn,Richmond,Away,2.0,1.896
Round 19,19,9,9,Essendon v Greater Western Sydney,Dyson Sharp,Essendon,Greater Western Sydney,Home,2.0,1.916
Round 22,22,5,5,Geelong v Essendon,Dyson Sharp,Essendon,Geelong,Away,0.5,0.362
Round 19,19,9,9,Essendon v Greater Western Sydney,Nick Bryan,Essendon,Greater Western Sydney,Home,1.0,0.863
Round 20,20,2,3,Melbourne v Geelong,Shannon Neale,Geelong,Melbourne,Away,3.0,2.889
Round 20,20,2,3,Melbourne v Geelong,Connor O'Sullivan,Geelong,Melbourne,Away,1.0,0.863
Round 20,20,3,2,Fremantle v West Coast,Matthew Johnson,Fremantle,West Coast,Home,1.0,0.863
Round 20,20,4,4,Carlton v Gold Coast,Talor Byrne,Carlton,Gold Coast,Home,2.0,1.896
Round 20,20,5,5,Hawthorn v Essendon,Harry Morrison,Hawthorn,Essendon,Home,1.0,0.863
Round 20,20,6,6,Greater Western Sydney v Sydney,James Rowbottom,Sydney,Greater Western Sydney,Away,0.5,0.382
Round 20,20,7,7,Western Bulldogs v Richmond,Tim English,Western Bulldogs,Richmond,Home,1.0,0.863
Round 20,20,7,7,Western Bulldogs v Richmond,Lachlan Bramble,Western Bulldogs,Richmond,Home,0.5,0.382
Round 21,21,1,1,Collingwood v Geelong,Daniel McStay,Collingwood,Geelong,Home,1.0,0.891
Round 22,22,8,8,West Coast v Collingwood,Daniel McStay,Collingwood,West Coast,Away,0.5,0.354
Round 21,21,2,2,Fremantle v Western Bulldogs,Karl Worner,Fremantle,Western Bulldogs,Home,3.0,2.889
Round 21,21,6,6,Carlton v Brisbane,Brodie Kemp,Carlton,Brisbane,Home,1.0,0.863
Round 21,21,7,7,Richmond v West Coast,Marcus Herbert,West Coast,Richmond,Away,0.5,0.382
Round 21,21,8,8,Gold Coast v Melbourne,Joel Fitzgerald,Melbourne,Gold Coast,Away,0.5,0.382
Round 21,21,9,9,Essendon v Adelaide,Riley Thilthorpe,Adelaide,Essendon,Away,3.0,2.839
Round 24,24,6,5,Adelaide v Greater Western Sydney,Riley Thilthorpe,Adelaide,Greater Western Sydney,Home,2.0,1.946
Round 21,21,9,9,Essendon v Adelaide,Peter Wright,Essendon,Adelaide,Home,0.5,0.382
Round 22,22,1,1,Western Bulldogs v North Melbourne,George Wardlaw,North Melbourne,Western Bulldogs,Away,1.0,0.863
Round 22,22,4,4,Sydney v Port Adelaide,Jesse Dattoli,Sydney,Port Adelaide,Home,0.5,0.382
Round 22,22,5,5,Geelong v Essendon,Oliver Henry,Geelong,Essendon,Home,1.0,0.863
Round 22,22,7,7,Greater Western Sydney v Gold Coast,Ned Moyle,Gold Coast,Greater Western Sydney,Away,0.5,0.382
Round 22,22,9,9,St Kilda v Carlton,Francis Evans,Carlton,St Kilda,Away,2.0,1.896
Round 23,23,3,3,North Melbourne v Geelong,Mark Blicavs,Geelong,North Melbourne,Away,1.0,0.863
Round 23,23,5,5,Hawthorn v Collingwood,Beau McCreery,Collingwood,Hawthorn,Away,2.0,1.896
Round 23,23,8,8,Western Bulldogs v Carlton,Blake Acres,Carlton,Western Bulldogs,Away,1.0,0.863
Round 24,24,2,2,Collingwood v Brisbane,Eric Hipwood,Brisbane,Collingwood,Away,0.5,0.382
Round 24,24,6,5,Adelaide v Greater Western Sydney,Ben Keays,Adelaide,Greater Western Sydney,Home,0.5,0.382
Round 24,24,7,7,Essendon v Port Adelaide,Jase Burgoyne,Port Adelaide,Essendon,Away,3.0,2.889
Round 24,24,7,7,Essendon v Port Adelaide,Nate Caddy,Essendon,Port Adelaide,Home,2.0,1.896
