round,roundNumber,game,fixtureGame,matchup,player,team,opponent,homeAway,human_vote,modelEV
Round 6,6,2,2,Geelong v Western Bulldogs,Jeremy Cameron,Geelong,Western Bulldogs,Home,3.0,2.805
Round 8,8,6,6,Geelong v North Melbourne,Jeremy Cameron,Geelong,North Melbourne,Home,0.5,0.364
Round 11,11,5,5,Geelong v Sydney,Jeremy Cameron,Geelong,Sydney,Home,1.0,0.914
Round 1,1,4,4,Geelong v Fremantle,Bailey Smith,Geelong,Fremantle,Home,0.5,0.399
Round 3,3,1,1,Geelong v Adelaide,Bailey Smith,Geelong,Adelaide,Home,3.0,2.931
Round 4,4,8,8,Hawthorn v Geelong,Bailey Smith,Geelong,Hawthorn,Away,1.0,0.97
Round 5,5,7,7,Geelong v West Coast,Bailey Smith,Geelong,West Coast,Home,3.0,2.931
Round 6,6,2,2,Geelong v Western Bulldogs,Bailey Smith,Geelong,Western Bulldogs,Home,2.0,2.015
Round 9,9,7,7,Geelong v Collingwood,Bailey Smith,Geelong,Collingwood,Home,3.0,2.931
Round 10,10,1,1,Brisbane v Geelong,Bailey Smith,Geelong,Brisbane,Away,2.0,2.015
Round 11,11,5,5,Geelong v Sydney,Bailey Smith,Geelong,Sydney,Home,0.5,0.399
Round 12,12,2,2,Carlton v Geelong,Bailey Smith,Geelong,Carlton,Away,0.5,0.399
Round 14,14,2,2,Geelong v Gold Coast,Bailey Smith,Geelong,Gold Coast,Home,2.0,2.015
Round 19,19,1,1,Geelong v St Kilda,Bailey Smith,Geelong,St Kilda,Home,3.0,2.931
Round 20,20,2,3,Melbourne v Geelong,Bailey Smith,Geelong,Melbourne,Away,2.0,2.015
Round 22,22,5,5,Geelong v Essendon,Bailey Smith,Geelong,Essendon,Home,3.0,2.931
Round 23,23,3,3,North Melbourne v Geelong,Bailey Smith,Geelong,North Melbourne,Away,3.0,2.931
Round 24,24,5,6,Geelong v Richmond,Bailey Smith,Geelong,Richmond,Home,3.0,2.931
Round 1,1,5,5,Sydney v Brisbane,Riley Bice,Sydney,Brisbane,Home,3.0,2.889
Round 1,1,5,5,Sydney v Brisbane,Tom McCartin,Sydney,Brisbane,Home,2.0,1.896
